,region,date,weighted_average_r
293,west midlands,2020-07-24,0.8500092685422396
294,west midlands,2020-07-31,0.8001522394963182
295,west midlands,2020-08-07,0.9000445674706131
296,west midlands,2020-08-14,0.9000058810201269
297,west midlands,2020-08-21,0.9000597170329795
298,west midlands,2020-08-28,0.9500538360128526
299,west midlands,2020-09-04,0.9000294179082466
300,west midlands,2020-09-11,1.0001085532421914
301,west midlands,2020-09-18,1.3499226270990277
302,west midlands,2020-09-25,1.3499040900145487
303,west midlands,2020-10-02,1.3499226270990277
304,west midlands,2020-10-09,1.3500344177118877
305,west midlands,2020-10-16,1.3500832539210994
306,west midlands,2020-10-23,1.2001748951679516
307,west midlands,2020-10-30,1.2999688196587809
308,west midlands,2020-11-06,1.2000319242138733
309,west midlands,2020-11-13,1.2000167746515067
310,west midlands,2020-11-20,1.09998735674326
311,west midlands,2020-11-27,0.9999579388350135
312,west midlands,2020-12-04,0.8500126560643524
313,west midlands,2020-12-11,0.8999882379597464
314,west midlands,2020-12-18,1.0999588200514996
315,west midlands,2020-12-23,1.1000067750442253
316,west midlands,2021-01-08,1.2500142683458804
317,west midlands,2021-01-15,1.300007493301655
318,west midlands,2021-01-22,1.049962925831042
319,west midlands,2021-01-29,0.9499721943732815
320,west midlands,2021-02-05,0.8000058810201268
321,west midlands,2021-02-12,0.7999907314577605
322,west midlands,2021-02-19,0.7499907314577604
323,west midlands,2021-02-26,0.7999411641835069
324,west midlands,2021-03-05,0.7999226270990278
325,west midlands,2021-03-12,0.6999705820917533
326,west midlands,2021-03-19,0.750024418104606
327,west midlands,2021-03-26,0.8499705820917534
328,yorkshire and the humber,2020-06-12,0.8505195498908178
329,yorkshire and the humber,2020-06-19,0.8005624808040239
330,yorkshire and the humber,2020-06-26,0.8004766189776116
331,yorkshire and the humber,2020-07-03,0.8990467620447768
332,yorkshire and the humber,2020-07-10,0.8499570690867939
333,yorkshire and the humber,2020-07-17,0.8005195498908177
334,yorkshire and the humber,2020-07-24,0.8994804501091823
335,yorkshire and the humber,2020-07-31,0.8014298569328349
336,yorkshire and the humber,2020-08-07,0.9004766189776117
337,yorkshire and the humber,2020-08-14,0.9004766189776117
338,yorkshire and the humber,2020-08-21,0.9009532379552233
339,yorkshire and the humber,2020-08-28,0.9009961688684295
340,yorkshire and the humber,2020-09-04,0.9
341,yorkshire and the humber,2020-09-11,1.100867376128811
342,yorkshire and the humber,2020-09-18,1.3005195498908175
343,yorkshire and the humber,2020-09-25,1.35
344,yorkshire and the humber,2020-10-02,1.3994804501091822
345,yorkshire and the humber,2020-10-09,1.3990038311315705
346,yorkshire and the humber,2020-10-16,1.3504766189776116
347,yorkshire and the humber,2020-10-23,1.2000000000000002
348,yorkshire and the humber,2020-10-30,1.1991326238711892
349,yorkshire and the humber,2020-11-06,1.1490896929579826
350,yorkshire and the humber,2020-11-13,1.0991326238711892
351,yorkshire and the humber,2020-11-20,1.0486130739803714
352,yorkshire and the humber,2020-11-27,0.899132623871189
353,yorkshire and the humber,2020-12-04,0.8000429309132061
354,yorkshire and the humber,2020-12-11,0.8000858618264123
355,yorkshire and the humber,2020-12-18,1.0000858618264123
356,yorkshire and the humber,2020-12-23,1.0000858618264123
357,yorkshire and the humber,2021-01-08,1.2495233810223885
358,yorkshire and the humber,2021-01-15,1.2015157187592473
359,yorkshire and the humber,2021-01-22,0.9510390997816355
360,yorkshire and the humber,2021-01-29,0.9500000000000001
361,yorkshire and the humber,2021-02-05,0.8994375191959761
362,yorkshire and the humber,2021-02-12,0.8494804501091823
363,yorkshire and the humber,2021-02-19,0.8489609002183648
364,yorkshire and the humber,2021-02-26,0.7999999999999999
365,yorkshire and the humber,2021-03-05,0.8494804501091823
366,yorkshire and the humber,2021-03-12,0.7989609002183647
367,yorkshire and the humber,2021-03-19,0.799957069086794
368,yorkshire and the humber,2021-03-26,0.8994804501091823
