,region,date,weighted_avg_sars_cov2,gene_copies_per_day,regional_pop,avg_r_lower,avg_r_avg,avg_r_upper,temp,suspended_solids_mg_l,ammonia_mg_l,ophosph_mg_l,sample_ph_pre_ansis,control_gc_l_mean,reac_vol_control,raw_ansis_sars_repc_std,compo_frac,sars_below_lod,sars_below_loq,reception_delay
278,north east,2020-09-18,1543.7292935034152,71005990075.70049,114991.0,1.2,1.2999999999999998,1.4,"(249.81155046916714, 34.565957335791495, 4.947173307417016, 7.498115506488866, 17633769.37934273, 2.0, 4.575234736875286, 1.0, 0.0, 0.0, 25.825471123827082)",249.81155046916714,34.565957335791495,4.947173307417016,7.498115506488866,17633769.37934273,2.0,4.575234736875286,1.0,0.0,0.0,25.825471123827082
282,north east,2020-09-25,23016.927608879818,1058695809069.0796,114991.0,1.2,1.35,1.4999999999999998,"(150.7537981233314, 22.69787200737449, 2.9226139185101876, 7.498115506488866, 17633769.37934273, 2.0, 25.487753883105913, 0.4905775234583576, 0.5094224765416424, 0.0, 24.979898716711162)",150.7537981233314,22.69787200737449,2.9226139185101876,7.498115506488866,17633769.37934273,2.0,25.487753883105913,0.4905775234583576,0.5094224765416424,0.0,24.979898716711162
286,north east,2020-10-02,16224.757306392963,746280426967.7732,114991.0,1.2,1.4,1.6,"(230.18844953083286, 28.54711238270821, 3.750942246755567, 7.498115506488866, 17633769.37934273, 2.0, 16.693444710352736, 1.0, 0.4905775234583576, 0.0, 26.174528876172918)",230.18844953083286,28.54711238270821,3.750942246755567,7.498115506488866,17633769.37934273,2.0,16.693444710352736,1.0,0.4905775234583576,0.0,26.174528876172918
290,north east,2020-10-09,9706.850502503712,446480178453.3617,114991.0,1.2999999999999998,1.4,1.4999999999999998,"(76.64072840483168, 13.320668574062317, 1.8037690023129365, 7.549057705560718, 17633769.37934273, 2.0, 16.128731601481313, 1.0, 0.0, 0.0, 26.206595733579153)",76.64072840483168,13.320668574062317,1.8037690023129365,7.549057705560718,17633769.37934273,2.0,16.128731601481313,1.0,0.0,0.0,26.206595733579153
294,north east,2020-10-16,6243.369263482776,287172509990.85913,114991.0,1.2999999999999998,1.35,1.4,"(114.90577523458357, 13.03768990616657, 2.0584802405837577, 7.498115506488866, 17633769.37934273, 2.0, 21.723765155941084, 1.0, 0.0, 0.0, 26.108804457160414)",114.90577523458357,13.03768990616657,2.0584802405837577,7.498115506488866,17633769.37934273,2.0,21.723765155941084,1.0,0.0,0.0,26.108804457160414
298,north east,2020-10-23,15730.362965298593,723540067097.0602,114991.0,1.0999999999999999,1.2000000000000002,1.2999999999999998,"(175.28267429624927, 26.11306971849971, 3.505653485026388, 7.498115506488866, 17633769.37934273, 2.0, 13.194947287339094, 1.0, 0.4905775234583576, 0.0, 26.376099288929858)",175.28267429624927,26.11306971849971,3.505653485026388,7.498115506488866,17633769.37934273,2.0,13.194947287339094,1.0,0.4905775234583576,0.0,26.376099288929858
302,north east,2020-10-30,54761.86702004552,2518848740200.8223,114991.0,1.0999999999999999,1.2000000000000002,1.2999999999999998,"(170.37689906166568, 23.07537981233314, 3.3528267663550517, 7.498115506488866, 17633769.37934273, 2.0, 271.9506543636832, 1.0, 1.0, 0.0, 25.102472077524904)",170.37689906166568,23.07537981233314,3.3528267663550517,7.498115506488866,17633769.37934273,2.0,271.9506543636832,1.0,1.0,0.0,25.102472077524904
306,north east,2020-11-06,136263.92743169275,6267650111719.111,114991.0,1.0999999999999999,1.15,1.2,"(209.62310093833432, 28.58480228887478, 3.9565957839586576, 7.498115506488866, 17633769.37934273, 2.0, 361.2986467403266, 1.0, 1.0, 0.0, 26.342137790493748)",209.62310093833432,28.58480228887478,3.9565957839586576,7.498115506488866,17633769.37934273,2.0,361.2986467403266,1.0,1.0,0.0,26.342137790493748
310,north east,2020-11-13,32694.87372036511,1503846489591.4019,114991.0,1.0,1.0999999999999999,1.2,"(281.31914671582996, 30.094224765416424, 4.154711333638253, 7.498115506488866, 17633769.37934273, 2.0, 24.506657877578867, 1.0, 0.4905775234583576, 0.0, 26.509432622263187)",281.31914671582996,30.094224765416424,4.154711333638253,7.498115506488866,17633769.37934273,2.0,24.506657877578867,1.0,0.4905775234583576,0.0,26.509432622263187
314,north east,2020-11-20,9016.522439151922,414727572720.20746,114991.0,1.0,1.05,1.0999999999999999,"(244.71732570375073, 33.603647241958065, 4.5547114290056845, 7.498115506488866, 17633769.37934273, 2.0, 7.015749345211101, 1.0, 0.0, 0.0, 26.34684902876457)",244.71732570375073,33.603647241958065,4.5547114290056845,7.498115506488866,17633769.37934273,2.0,7.015749345211101,1.0,0.0,0.0,26.34684902876457
