,region,date,weighted_avg_sars_cov2,suspended_solids_weighted,ammonia_weighted,ophosph_weighted,sample_ph_weighted,control_weighted,reac_vol_control_weighted,raw_ansis_sars_repc_std_weighted,compo_frac_weighted,sars_below_lod_weighted,sars_below_loq_weighted,reception_delay_weighted,regional_popn,avg_r_lower,avg_r_avg,avg_r_upper
271,North East,2020-09-06,6834.8964533233475,205.28239669413415,30.603545454515857,3.5622371397022867,7.498117357167869,17633673.266087756,2.0,24.087765296752643,1.0,0.0,0.0,21.234920523417905,114988.83105005922,,,
272,North East,2020-09-07,1650.3916350731931,255.09413223137807,28.565892561964638,3.707530506535813,7.498117357167869,17633673.266087756,2.0,3.474968025776144,1.0,0.0,0.0,24.405702892567493,114988.83105005922,,,
273,North East,2020-09-09,29057.847307112344,453.7652892551222,29.565892561964638,4.00376516869926,7.498117357167869,17633673.266087756,2.0,47.87312042325636,1.0,0.49058677686219465,0.0,23.914156473829916,114988.83105005922,,,
274,North East,2020-09-11,6302.811598606356,234.90586776862196,32.56589256196464,4.5,7.498117357167869,17633673.266087756,2.0,3.817306488254706,1.0,0.0,0.0,23.575784435261486,114988.83105005922,1.0,1.0999999999999999,1.2
275,North East,2020-09-13,3794.299564339407,169.8117355372439,33.075305785102444,4.158471875635595,7.498117357167869,17633673.266087756,2.0,7.9201958587380465,1.0,0.0,0.0,24.499372451790812,114988.83105005922,,,
276,North East,2020-09-14,8521.200468836425,280.0,32.56589256196464,4.113178656341789,7.498117357167869,17633673.266087756,2.0,17.243777569541578,1.0,0.0,0.0,23.95346983471213,114988.83105005922,,,
277,North East,2020-09-16,8258.422757180764,299.24694214897556,32.075305785102444,4.549058630900219,7.498117357167869,17633673.266087756,2.0,12.432240172482585,1.0,0.0,0.0,24.110059090908596,114988.83105005922,,,
278,North East,2020-09-18,1543.7485389683168,249.81173553724392,34.56589256196464,4.947176083435519,7.498117357167869,17633673.266087756,2.0,4.575246288757096,1.0,0.0,0.0,25.825470661156892,114988.83105005922,1.2,1.2999999999999998,1.4
279,North East,2020-09-20,7080.29685446215,79.8305619835195,34.03765289255122,4.156589232803463,7.498117357167869,17633673.266087756,2.0,11.173418505825145,1.0,0.0,0.0,23.73364710743793,114988.83105005922,,,
280,North East,2020-09-21,9912.243526592294,255.28239669413418,32.58471900824025,4.062237139702287,7.498117357167869,17633673.266087756,2.0,5.853809927270126,1.0,0.0,0.0,25.08809490358705,114988.83105005922,,,
281,North East,2020-09-23,3899.342944755394,296.2237190079147,32.54706611568903,4.747176031263229,7.498117357167869,17633673.266087756,2.0,14.12315473419566,1.0,0.0,0.0,25.02236955923416,114988.83105005922,,,
282,North East,2020-09-25,23016.545133290267,150.75305785102444,22.697677685893915,2.922591710342303,7.498117357167869,17633673.266087756,2.0,25.487394784377646,0.49058677686219465,0.5094132231378053,0.0,24.979918457306013,114988.83105005922,1.2,1.35,1.4999999999999998
283,North East,2020-09-27,19193.703847107514,229.43520661173167,35.924694214897556,4.19246935041304,7.498117357167869,17633673.266087756,2.0,14.365050618916436,0.5094132231378053,0.49058677686219465,0.0,27.64846776860024,114988.83105005922,,,
284,North East,2020-09-28,10479.555025976584,260.3765289255122,29.075305785102444,3.7094131493679443,7.498117357167869,17633673.266087756,2.0,6.176452791028089,1.0,0.49058677686219465,0.0,21.350959641875384,114988.83105005922,,,
285,North East,2020-09-30,6980.531290207244,224.90586776862193,31.565892561964638,4.44905872626765,7.498117357167869,17633673.266087756,2.0,6.01128302265292,1.0,0.0,0.0,26.44621639118327,114988.83105005922,,,
286,North East,2020-10-02,16224.939099560335,230.18826446275614,28.547066115689027,3.750941321416066,7.498117357167869,17633673.266087756,2.0,16.69365158427555,1.0,0.49058677686219465,0.0,26.174529338843108,114988.83105005922,1.2,1.4,1.6
287,North East,2020-10-04,2713.9891817008493,120.00000000000001,7.9547064208340394,1.100000023841858,7.498117357167869,17633673.266087756,2.0,1.4794661688757655,1.0,0.0,0.0,26.854706611568904,114988.83105005922,,,
288,North East,2020-10-05,7330.182865426747,120.18826446275612,11.565892561964638,1.4075305542195289,7.54905863090022,17633673.266087756,2.0,27.46695076524091,1.0,0.0,0.0,23.53178278237197,114988.83105005922,,,
289,North East,2020-10-07,9706.817741067083,165.47066115689026,18.075305785102444,2.2547066115689027,7.54905863090022,17633673.266087756,2.0,16.128550451312712,1.0,0.0,0.0,26.44968622589541,114988.83105005922,,,
290,North East,2020-10-09,9706.817741067083,76.64009917337076,13.32059917353354,1.8037653009516224,7.54905863090022,17633673.266087756,2.0,16.128550451312712,1.0,0.0,0.0,26.20658925619647,114988.83105005922,1.2999999999999998,1.4,1.4999999999999998
291,North East,2020-10-11,12083.452616707418,195.47066115689026,23.603545454515857,3.0641197870229924,7.54905863090022,17633673.266087756,2.0,4.790150137384514,1.0,0.0,0.0,26.82452933884311,114988.83105005922,,,
292,North East,2020-10-12,18709.5511542882,158.9391239663879,26.62237190079147,3.3169437512711895,7.498117357167869,17633673.266087756,2.0,33.22887648389204,1.0,1.0,0.0,24.41673994491309,114988.83105005922,,,
293,North East,2020-10-14,2369.996894278859,70.92359504120124,9.528239669413415,1.2528239664924843,7.498117357167869,17633673.266087756,2.0,2.1977855470951115,1.0,0.0,0.0,25.566666666666663,114988.83105005922,,,
