date,areaCode,region,areaType,newCasesBySpecimenDate,cases_7d_avg
2020-10-07,E12000003,Yorkshire And The Humber,region,2688,2172.285714285714
2020-10-07,E12000009,South West,region,817,546.2857142857143
2020-10-07,E12000001,North East,region,1490,1308.0
2020-10-07,E12000005,West Midlands,region,1226,990.4285714285714
2020-10-07,E12000004,East Midlands,region,1729,1330.5714285714287
2020-10-07,E12000008,South East,region,913,661.0
2020-10-07,E12000007,London,region,1425,1091.5714285714287
2020-10-07,E12000002,North West,region,4430,3783.4285714285716
2020-10-07,E12000006,East Of England,region,553,453.2857142857143
2020-10-08,E12000008,South East,region,978,725.7142857142857
2020-10-08,E12000009,South West,region,866,612.8571428571429
2020-10-08,E12000003,Yorkshire And The Humber,region,2458,2214.0
2020-10-08,E12000004,East Midlands,region,1954,1457.7142857142858
2020-10-08,E12000001,North East,region,1391,1335.142857142857
2020-10-08,E12000006,East Of England,region,581,484.42857142857144
2020-10-08,E12000007,London,region,1481,1149.4285714285713
2020-10-08,E12000002,North West,region,4341,3879.8571428571427
2020-10-08,E12000005,West Midlands,region,1287,1046.0
2020-10-09,E12000009,South West,region,786,663.8571428571429
2020-10-09,E12000007,London,region,1362,1195.4285714285713
2020-10-09,E12000003,Yorkshire And The Humber,region,1895,2166.714285714286
2020-10-09,E12000006,East Of England,region,570,505.42857142857144
2020-10-09,E12000005,West Midlands,region,1202,1081.7142857142858
2020-10-09,E12000008,South East,region,785,746.1428571428571
2020-10-09,E12000001,North East,region,1187,1329.4285714285713
2020-10-09,E12000002,North West,region,3794,3927.0
2020-10-09,E12000004,East Midlands,region,1455,1492.0
2020-10-10,E12000003,Yorkshire And The Humber,region,1952,2204.285714285714
2020-10-10,E12000001,North East,region,850,1282.4285714285713
2020-10-10,E12000002,North West,region,2980,3927.5714285714284
2020-10-10,E12000005,West Midlands,region,926,1105.7142857142858
2020-10-10,E12000006,East Of England,region,336,501.14285714285717
2020-10-10,E12000008,South East,region,569,749.4285714285714
2020-10-10,E12000007,London,region,881,1207.0
2020-10-10,E12000009,South West,region,577,687.8571428571429
2020-10-10,E12000004,East Midlands,region,1152,1509.857142857143
2020-10-11,E12000006,East Of England,region,379,503.85714285714283
2020-10-11,E12000008,South East,region,492,739.2857142857143
2020-10-11,E12000007,London,region,745,1194.2857142857142
2020-10-11,E12000001,North East,region,944,1243.7142857142858
2020-10-11,E12000003,Yorkshire And The Humber,region,1652,2198.714285714286
2020-10-11,E12000004,East Midlands,region,1118,1501.2857142857142
2020-10-11,E12000002,North West,region,2981,3932.714285714286
2020-10-11,E12000009,South West,region,488,693.8571428571429
2020-10-11,E12000005,West Midlands,region,928,1139.0
2020-10-12,E12000004,East Midlands,region,1797,1532.142857142857
2020-10-12,E12000005,West Midlands,region,1528,1189.2857142857142
2020-10-12,E12000008,South East,region,876,757.2857142857143
2020-10-12,E12000003,Yorkshire And The Humber,region,2812,2271.8571428571427
2020-10-12,E12000006,East Of England,region,711,528.5714285714286
2020-10-12,E12000007,London,region,1590,1236.0
2020-10-12,E12000009,South West,region,764,708.8571428571429
2020-10-12,E12000002,North West,region,4819,3991.5714285714284
2020-10-12,E12000001,North East,region,1400,1245.5714285714287
2020-10-13,E12000003,Yorkshire And The Humber,region,2586,2291.8571428571427
2020-10-13,E12000004,East Midlands,region,1595,1542.857142857143
2020-10-13,E12000008,South East,region,1045,808.2857142857143
2020-10-13,E12000002,North West,region,4339,3954.8571428571427
2020-10-13,E12000007,London,region,1440,1274.857142857143
2020-10-13,E12000005,West Midlands,region,1509,1229.4285714285713
2020-10-13,E12000001,North East,region,1315,1225.2857142857142
2020-10-13,E12000009,South West,region,978,753.7142857142857
2020-10-13,E12000006,East Of England,region,735,552.1428571428571
2020-10-14,E12000004,East Midlands,region,1824,1556.4285714285713
2020-10-14,E12000006,East Of England,region,684,570.8571428571429
2020-10-14,E12000005,West Midlands,region,1598,1282.5714285714287
2020-10-14,E12000003,Yorkshire And The Humber,region,2818,2310.4285714285716
2020-10-14,E12000007,London,region,1638,1305.2857142857142
2020-10-14,E12000002,North West,region,4519,3967.5714285714284
2020-10-14,E12000008,South East,region,1090,833.5714285714286
2020-10-14,E12000001,North East,region,1411,1214.0
2020-10-14,E12000009,South West,region,879,762.5714285714286
2020-10-15,E12000006,East Of England,region,852,609.5714285714286
2020-10-15,E12000009,South West,region,695,738.1428571428571
2020-10-15,E12000008,South East,region,979,833.7142857142857
2020-10-15,E12000002,North West,region,4217,3949.8571428571427
2020-10-15,E12000007,London,region,1740,1342.2857142857142
2020-10-15,E12000003,Yorkshire And The Humber,region,2565,2325.714285714286
2020-10-15,E12000001,North East,region,1177,1183.4285714285713
2020-10-15,E12000005,West Midlands,region,1610,1328.7142857142858
2020-10-15,E12000004,East Midlands,region,1449,1484.2857142857142
2020-10-16,E12000009,South West,region,817,742.5714285714286
2020-10-16,E12000001,North East,region,1088,1169.2857142857142
2020-10-16,E12000008,South East,region,970,860.1428571428571
2020-10-16,E12000004,East Midlands,region,1311,1463.7142857142858
2020-10-16,E12000006,East Of England,region,662,622.7142857142857
2020-10-16,E12000003,Yorkshire And The Humber,region,2488,2410.4285714285716
2020-10-16,E12000007,London,region,1685,1388.4285714285713
2020-10-16,E12000002,North West,region,3951,3972.285714285714
2020-10-16,E12000005,West Midlands,region,1646,1392.142857142857
2020-10-17,E12000005,West Midlands,region,1255,1439.142857142857
2020-10-17,E12000001,North East,region,813,1164.0
2020-10-17,E12000006,East Of England,region,512,647.8571428571429
2020-10-17,E12000003,Yorkshire And The Humber,region,2385,2472.285714285714
2020-10-17,E12000009,South West,region,666,755.2857142857143
2020-10-17,E12000007,London,region,1117,1422.142857142857
2020-10-17,E12000002,North West,region,3642,4066.8571428571427
2020-10-17,E12000004,East Midlands,region,1220,1473.4285714285713
2020-10-17,E12000008,South East,region,791,891.8571428571429
2020-10-18,E12000007,London,region,1308,1502.5714285714287
2020-10-18,E12000003,Yorkshire And The Humber,region,2243,2556.714285714286
2020-10-18,E12000002,North West,region,3250,4105.285714285715
2020-10-18,E12000001,North East,region,836,1148.5714285714287
